n_repeat,n_split,xgboost,nn_full,nn_lv1,nn_lv2,nn_lv3,nn_lv4
1,1,.9,.9,.89,.89,.86,.76
1,2,.89,.88,.86,.83,.86,.79
1,3,.81,.74,.71,.75,.64,.69
1,4,.8,.81,.85,.81,.81,.77
1,5,.83,.81,.82,.79,.77,.73
1,6,.92,.89,.89,.88,.85,.78
1,7,.8,.78,.77,.79,.75,.72
1,8,.9,.86,.88,.86,.83,.8
1,9,.93,.89,.89,.88,.88,.79
1,10,.9,.88,.86,.89,.84,.78
2,1,.93,.93,.93,.93,.92,.8
2,2,.93,.9,.91,.88,.84,.77
2,3,.8,.81,.82,.81,.8,.76
2,4,.85,.83,.82,.81,.83,.76
2,5,.89,.88,.87,.87,.83,.72
2,6,.91,.88,.89,.89,.87,.83
2,7,.91,.9,.88,.85,.87,.83
2,8,.88,.89,.88,.86,.82,.79
2,9,.86,.84,.85,.85,.84,.71
2,10,.82,.74,.76,.72,.74,.65
3,1,.94,.93,.93,.9,.87,.78
3,2,.81,.87,.85,.87,.84,.76
3,3,.84,.81,.81,.79,.77,.74
3,4,.84,.81,.81,.81,.77,.76
3,5,.88,.89,.87,.86,.81,.83
3,6,.93,.92,.9,.91,.85,.83
3,7,.85,.87,.87,.84,.84,.76
3,8,.92,.89,.89,.9,.86,.86
3,9,.92,.91,.91,.92,.89,.82
3,10,.92,.85,.87,.85,.83,.8